,Gender,Ethnicity,Child's First Name
0,FEMALE,HISPANIC,GERALDINE
1,FEMALE,HISPANIC,GIA
2,FEMALE,HISPANIC,GIANNA
3,FEMALE,HISPANIC,GISELLE
4,FEMALE,HISPANIC,GRACE
5,FEMALE,HISPANIC,GUADALUPE
6,FEMALE,HISPANIC,HAILEY
7,FEMALE,HISPANIC,HALEY
8,FEMALE,HISPANIC,HANNAH
9,FEMALE,HISPANIC,HAYLEE
10,FEMALE,HISPANIC,HAYLEY
11,FEMALE,HISPANIC,HAZEL
12,FEMALE,HISPANIC,HEAVEN
13,FEMALE,HISPANIC,HEIDI
14,FEMALE,HISPANIC,HEIDY
15,FEMALE,HISPANIC,HELEN
16,FEMALE,HISPANIC,IMANI
17,FEMALE,HISPANIC,INGRID
18,FEMALE,HISPANIC,IRENE
19,FEMALE,HISPANIC,IRIS
20,FEMALE,HISPANIC,ISABEL
21,FEMALE,HISPANIC,ISABELA
22,FEMALE,HISPANIC,ISABELLA
23,FEMALE,HISPANIC,ISABELLE
24,FEMALE,HISPANIC,ISIS
25,FEMALE,HISPANIC,ITZEL
26,FEMALE,HISPANIC,IZABELLA
27,FEMALE,HISPANIC,JACQUELINE
28,FEMALE,HISPANIC,JADA
29,FEMALE,HISPANIC,JADE
30,FEMALE,HISPANIC,JAELYNN
31,FEMALE,HISPANIC,JAMIE
32,FEMALE,HISPANIC,JANELLE
33,FEMALE,HISPANIC,JASLENE
34,FEMALE,HISPANIC,JASMIN
35,FEMALE,HISPANIC,JASMINE
36,FEMALE,HISPANIC,JAYDA
37,FEMALE,HISPANIC,JAYLA
38,FEMALE,HISPANIC,JAYLAH
39,FEMALE,HISPANIC,JAYLEEN
40,FEMALE,HISPANIC,JAYLENE
41,FEMALE,HISPANIC,JAYLIN
42,FEMALE,HISPANIC,JAYLYN
43,FEMALE,HISPANIC,JAZLYN
44,FEMALE,HISPANIC,JAZMIN
45,FEMALE,HISPANIC,JAZMINE
46,FEMALE,HISPANIC,JENNIFER
47,FEMALE,HISPANIC,JESSICA
48,FEMALE,HISPANIC,JIMENA
49,FEMALE,HISPANIC,JOCELYN
50,FEMALE,HISPANIC,JOHANNA
51,FEMALE,HISPANIC,JOSELYN
52,FEMALE,HISPANIC,JULIA
53,FEMALE,HISPANIC,JULIANA
54,FEMALE,HISPANIC,JULIANNA
55,FEMALE,HISPANIC,JULIET
56,FEMALE,HISPANIC,JULIETTE
57,FEMALE,HISPANIC,JULISSA
58,FEMALE,HISPANIC,KAELYN
59,FEMALE,HISPANIC,KAILEY
60,FEMALE,HISPANIC,KAILYN
61,FEMALE,HISPANIC,KAITLYN
62,FEMALE,HISPANIC,KAMILA
63,FEMALE,HISPANIC,KAREN
64,FEMALE,HISPANIC,KARLA
65,FEMALE,HISPANIC,KATE
66,FEMALE,HISPANIC,KATELYN
67,FEMALE,HISPANIC,KATELYNN
68,FEMALE,HISPANIC,KATHERINE
69,FEMALE,HISPANIC,KATIE
70,FEMALE,HISPANIC,KAYLA
